protocolo;nomeEmpresa;modalidade;tpNavegacao;situacao;ultimaAlteracaoPor;fase;regular;dtInicio;dtSolicitacao;dtConfirmacao;dtFechamento;J
201502413;PETRÓLEO BRASILEIRO S.A - PETROBRAS;TEMPO;CABOTAGEM;CIRCULARIZAÇÃO ABERTA;ADRIANA ALMEIDA TOFANI;CIRCULARIZAÇÃO;NÃO;25/5/2015 a 29/5/2015;;;;52381
201502414;PETRÓLEO BRASILEIRO S.A - PETROBRAS;TEMPO;CABOTAGEM;AFRETAMENTO CANCELADO;NÃO INFORMADO;CIRCULARIZAÇÃO;NÃO;25/5/2015 a 29/5/2015;20/5/2015;26/5/2015;;52382
201502415;PETRÓLEO BRASILEIRO S.A - PETROBRAS;TEMPO;LONGO CURSO;AFRETAMENTO CANCELADO;NÃO INFORMADO;CIRCULARIZAÇÃO;NÃO;25/5/2015 a 29/5/2015;20/5/2015;26/5/2015;;52383
201502416;PETRÓLEO BRASILEIRO S.A - PETROBRAS;TEMPO;CABOTAGEM;DISPONÍVEL PARA FECHAMENTO;RÔMULO CASTELO BRANCO GOMES DE ARAUJO;CONFIRMAÇÃO;NÃO;26/5/2015 a 30/5/2015;20/5/2015;27/5/2015;;52384
201502417;PETRÓLEO BRASILEIRO S.A - PETROBRAS;TEMPO;LONGO CURSO;CIRCULARIZAÇÃO ABERTA;ADRIANA ALMEIDA TOFANI;CIRCULARIZAÇÃO;NÃO;26/5/2015 a 30/5/2015;;;;52385
201502418;PETRÓLEO BRASILEIRO S.A - PETROBRAS;TEMPO;LONGO CURSO;DISPONÍVEL PARA FECHAMENTO;RÔMULO CASTELO BRANCO GOMES DE ARAUJO;CONFIRMAÇÃO;NÃO;26/5/2015 a 30/5/2015;20/5/2015;27/5/2015;;52386
201502419;ALIANÇA NAVEGAÇÃO E LOGÍSTICA LTDA.;ESPAÇO;CABOTAGEM;AFRETAMENTO FECHADO E LIBERADO;ILSE COTING;FECHAMENTO;NÃO;25/5/2015 a 29/5/2015;20/5/2015;25/5/2015;28/5/2015;52387
201502420;PETRÓLEO BRASILEIRO S.A - PETROBRAS;VIAGEM;LONGO CURSO;REGISTRO ENCERRADO;AUGUSTO BERTON VEDAN;REGISTRO;NÃO;16/5/2015;19/5/2015;16/5/2015;18/6/2015;52388
201502421;ALIANÇA NAVEGAÇÃO E LOGÍSTICA LTDA.;ESPAÇO;CABOTAGEM;AFRETAMENTO FECHADO E LIBERADO;ILSE COTING;FECHAMENTO;NÃO;25/5/2015 a 29/5/2015;20/5/2015;25/5/2015;31/5/2015;52389
201502422;ALIANÇA NAVEGAÇÃO E LOGÍSTICA LTDA.;ESPAÇO;CABOTAGEM;AFRETAMENTO FECHADO E LIBERADO;ILSE COTING;FECHAMENTO;NÃO;26/5/2015 a 30/5/2015;20/5/2015;26/5/2015;27/5/2015;52390
201502423;ALIANÇA NAVEGAÇÃO E LOGÍSTICA LTDA.;ESPAÇO;CABOTAGEM;AFRETAMENTO FECHADO E LIBERADO;ILSE COTING;FECHAMENTO;NÃO;25/5/2015 a 29/5/2015;20/5/2015;25/5/2015;28/5/2015;52391
201502424;PETRÓLEO BRASILEIRO S.A - PETROBRAS;TEMPO;APOIO MARÍTIMO;AFRETAMENTO CANCELADO;RÔMULO CASTELO BRANCO GOMES DE ARAUJO;CIRCULARIZAÇÃO;NÃO;20/7/2015 a 20/8/2015;;;;52392
201502425;PETRÓLEO BRASILEIRO S.A - PETROBRAS;VIAGEM;LONGO CURSO;DISPONÍVEL PARA FECHAMENTO;AUGUSTO BERTON VEDAN;CONFIRMAÇÃO;NÃO;24/5/2015 a 28/5/2015;21/5/2015;26/5/2015;;52393
201502426;PETRÓLEO BRASILEIRO S.A - PETROBRAS;VIAGEM;LONGO CURSO;AFRETAMENTO FECHADO E LIBERADO;JORGE JÚLIO GUILHERME DOS REIS STRAUCH;FECHAMENTO;NÃO;30/5/2015 a 3/6/2015;26/5/2015;3/6/2015;28/6/2015;52394
201502429;MERCOSUL LINE NAVEGAÇÃO E LOGÍSTICA LTDA;ESPAÇO;CABOTAGEM;AFRETAMENTO FECHADO E LIBERADO;PAULO RICARDO CRISTIANO DA SILVA;FECHAMENTO;NÃO;25/5/2015 a 29/5/2015;21/5/2015;25/5/2015;28/5/2015;52397
201502430;MERCOSUL LINE NAVEGAÇÃO E LOGÍSTICA LTDA;ESPAÇO;CABOTAGEM;AFRETAMENTO FECHADO E LIBERADO;PAULO RICARDO CRISTIANO DA SILVA;FECHAMENTO;NÃO;25/5/2015 a 29/5/2015;21/5/2015;25/5/2015;28/5/2015;52398
201502431;PETRÓLEO BRASILEIRO S.A - PETROBRAS;TEMPO;LONGO CURSO;CIRCULARIZAÇÃO NÃO APROVADA;JEDIEL SOUSA SILVA;CIRCULARIZAÇÃO;NÃO;24/5/2015;;;;52399
201502432;PETRÓLEO BRASILEIRO S.A - PETROBRAS;TEMPO;APOIO MARÍTIMO;AGUARDANDO ANÁLISE DO CANCELAMENTO DO REGISTRO;GÉSSICA KNUPP CIDRO;REGISTRO;NÃO;20/7/2015 a 20/8/2015;;;;52400
201502433;ZEMAX LOG SOLUÇÕES MARÍTIMAS S.A.;TEMPO;LONGO CURSO;AFRETAMENTO CANCELADO;AUGUSTO BERTON VEDAN;CIRCULARIZAÇÃO;NÃO;28/5/2015 a 3/6/2015;20/5/2015;;;52401
201502434;FLUMAR TRANSPORTES DE QUIMICOS E GASES LTDA;ESPAÇO;CABOTAGEM;AFRETAMENTO FECHADO E LIBERADO;INGRID LAZZARIN;FECHAMENTO;NÃO;21/5/2015 a 22/5/2015;20/5/2015;21/5/2015;29/5/2015;52402
201502435;ZEMAX LOG SOLUÇÕES MARÍTIMAS S.A.;ESPAÇO;LONGO CURSO;AFRETAMENTO FECHADO E LIBERADO;PETER KING;FECHAMENTO;NÃO;26/5/2015 a 30/5/2015;20/5/2015;27/5/2015;1/6/2015;52403
201502436;SOBRARE SERVEMAR LTDA;TEMPO (EXPEDITO);APOIO PORTUÁRIO;REGISTRO ENCERRADO;AUGUSTO BERTON VEDAN;REGISTRO;NÃO;13/5/2015;20/5/2015;13/5/2015;13/5/2015;52404
201502437;SAVEIROS, CAMUYRANO - SERVIÇOS MARÍTIMOS S/A;TEMPO (EXPEDITO);APOIO PORTUÁRIO;REGISTRO ENCERRADO;AUGUSTO BERTON VEDAN;REGISTRO;NÃO;13/5/2015;20/5/2015;13/5/2015;13/5/2015;52405
201502438;SAVEIROS, CAMUYRANO - SERVIÇOS MARÍTIMOS S/A;TEMPO (EXPEDITO);APOIO PORTUÁRIO;REGISTRO ENCERRADO;AUGUSTO BERTON VEDAN;REGISTRO;NÃO;13/5/2015;20/5/2015;13/5/2015;13/5/2015;52406
201502439;SAVEIROS, CAMUYRANO - SERVIÇOS MARÍTIMOS S/A;TEMPO (EXPEDITO);APOIO PORTUÁRIO;REGISTRO ENCERRADO;AUGUSTO BERTON VEDAN;REGISTRO;NÃO;13/5/2015;20/5/2015;13/5/2015;13/5/2015;52407
201502440;ALIANÇA NAVEGAÇÃO E LOGÍSTICA LTDA.;ESPAÇO;LONGO CURSO;REGISTRO ENCERRADO;AUGUSTO BERTON VEDAN;REGISTRO;NÃO;18/5/2015;20/5/2015;18/5/2015;20/6/2015;52408
201502441;EMPRESA DE NAVEGAÇÃO ELCANO S.A.;VIAGEM;LONGO CURSO;REGISTRO ENCERRADO;FELIPE PUGIAN JARDIM;REGISTRO;NÃO;18/5/2015;20/5/2015;18/5/2015;28/5/2015;52409
201502442;PETRÓLEO BRASILEIRO S.A - PETROBRAS;VIAGEM;LONGO CURSO;AGUARDANDO ENCERRAMENTO DO REGISTRO;AUGUSTO BERTON VEDAN;REGISTRO;NÃO;27/4/2015;20/5/2015;27/4/2015;27/5/2015;52410
201502443;UP OFFSHORE APOIO MARÍTIMO LTDA.;TEMPO;APOIO MARÍTIMO;DISPONÍVEL PARA FECHAMENTO;RÔMULO CASTELO BRANCO GOMES DE ARAUJO;CONFIRMAÇÃO;NÃO;19/7/2015 a 15/8/2015;3/6/2015;11/6/2015;;52411
201502444;SOBRARE SERVEMAR LTDA;TEMPO (EXPEDITO);APOIO PORTUÁRIO;REGISTRO ENCERRADO;AUGUSTO BERTON VEDAN;REGISTRO;NÃO;14/5/2015;20/5/2015;14/5/2015;14/5/2015;52412
201502445;SAVEIROS, CAMUYRANO - SERVIÇOS MARÍTIMOS S/A;TEMPO (EXPEDITO);APOIO PORTUÁRIO;REGISTRO ENCERRADO;AUGUSTO BERTON VEDAN;REGISTRO;NÃO;14/5/2015;20/5/2015;14/5/2015;14/5/2015;52413
201502446;SAVEIROS, CAMUYRANO - SERVIÇOS MARÍTIMOS S/A;TEMPO (EXPEDITO);APOIO PORTUÁRIO;REGISTRO ENCERRADO;AUGUSTO BERTON VEDAN;REGISTRO;NÃO;14/5/2015;20/5/2015;14/5/2015;14/5/2015;52414
201502447;SULNORTE SERVIÇOS MARÍTIMOS LTDA.;TEMPO (EXPEDITO);APOIO PORTUÁRIO;AGUARDANDO ANÁLISE DE REGISTRO;MARCELO DA SILVA TELLES;REGISTRO;NÃO;4/5/2015 a 4/5/2015;20/5/2015;4/5/2015;4/5/2015;52415
201502448;SULNORTE SERVIÇOS MARÍTIMOS LTDA.;TEMPO (EXPEDITO);APOIO PORTUÁRIO;AGUARDANDO ANÁLISE DE REGISTRO;MARCELO DA SILVA TELLES;REGISTRO;NÃO;7/5/2015 a 7/5/2015;20/5/2015;7/5/2015;7/5/2015;52416
201502449;SULNORTE SERVIÇOS MARÍTIMOS LTDA.;TEMPO (EXPEDITO);APOIO PORTUÁRIO;AGUARDANDO ANÁLISE DE REGISTRO;MARCELO DA SILVA TELLES;REGISTRO;NÃO;8/5/2015 a 8/5/2015;20/5/2015;8/5/2015;8/5/2015;52417
201502450;CIA DE NAVEGAÇÃO NORSUL;TEMPO (ÚNICA VIAGEM);CABOTAGEM;AFRETAMENTO CANCELADO;RÔMULO CASTELO BRANCO GOMES DE ARAUJO;CIRCULARIZAÇÃO;NÃO;27/5/2015 a 31/5/2015;;;;52418
201502451;SULNORTE SERVIÇOS MARÍTIMOS LTDA.;TEMPO (EXPEDITO);APOIO PORTUÁRIO;AGUARDANDO ANÁLISE DE REGISTRO;MARCELO DA SILVA TELLES;REGISTRO;NÃO;16/5/2015 a 16/5/2015;20/5/2015;16/5/2015;16/5/2015;52419
201502452;SAAM SMIT TOWAGE BRASIL S/A.;CASCO NU;APOIO PORTUÁRIO;AGUARDANDO ENCERRAMENTO DO REGISTRO;AUGUSTO BERTON VEDAN;REGISTRO;NÃO;13/5/2015 a 13/5/2015;20/5/2015;13/5/2015;12/5/2016;52420
201502453;SAAM SMIT TOWAGE BRASIL S/A.;CASCO NU;APOIO PORTUÁRIO;AGUARDANDO ENCERRAMENTO DO REGISTRO;AUGUSTO BERTON VEDAN;REGISTRO;NÃO;13/5/2015 a 13/5/2015;20/5/2015;13/5/2015;12/5/2016;52421
201502454;SULNORTE SERVIÇOS MARÍTIMOS LTDA.;TEMPO (EXPEDITO);APOIO PORTUÁRIO;AGUARDANDO ANÁLISE DE REGISTRO;ARTHUR SOUZA DE ALMEIDA SOUTO;REGISTRO;NÃO;12/5/2015 a 12/5/2015;20/5/2015;12/5/2015;12/5/2015;52422
201502455;SULNORTE SERVIÇOS MARÍTIMOS LTDA.;TEMPO (EXPEDITO);APOIO PORTUÁRIO;AGUARDANDO ANÁLISE DE REGISTRO;ARTHUR SOUZA DE ALMEIDA SOUTO;REGISTRO;NÃO;14/5/2015 a 14/5/2015;20/5/2015;14/5/2015;14/5/2015;52423
201502456;PETRÓLEO BRASILEIRO S.A - PETROBRAS;TEMPO;LONGO CURSO;AFRETAMENTO FECHADO E LIBERADO;RENATA DE MELLO CAMPOS LIMMER;FECHAMENTO;NÃO;24/5/2015 a 28/5/2015;21/5/2015;24/5/2015;14/6/2015;52424
201502457;SULNORTE SERVIÇOS MARÍTIMOS LTDA.;TEMPO (EXPEDITO);APOIO PORTUÁRIO;AGUARDANDO ANÁLISE DE REGISTRO;ARTHUR SOUZA DE ALMEIDA SOUTO;REGISTRO;NÃO;15/5/2015 a 15/5/2015;20/5/2015;15/5/2015;15/5/2015;52425
201502458;SULNORTE SERVIÇOS MARÍTIMOS LTDA.;TEMPO (EXPEDITO);APOIO PORTUÁRIO;AGUARDANDO ANÁLISE DE REGISTRO;ARTHUR SOUZA DE ALMEIDA SOUTO;REGISTRO;NÃO;16/5/2015 a 16/5/2015;20/5/2015;16/5/2015;16/5/2015;52426
201502459;VALE S.A.;TEMPO (EXPEDITO);APOIO PORTUÁRIO;REGISTRO ENCERRADO;AUGUSTO BERTON VEDAN;REGISTRO;NÃO;9/5/2015;20/5/2015;9/5/2015;9/5/2015;52427
201502460;VALE S.A.;TEMPO (EXPEDITO);APOIO PORTUÁRIO;REGISTRO ENCERRADO;AUGUSTO BERTON VEDAN;REGISTRO;NÃO;9/5/2015;20/5/2015;9/5/2015;9/5/2015;52428
201502461;VALE S.A.;TEMPO (EXPEDITO);APOIO PORTUÁRIO;REGISTRO ENCERRADO;AUGUSTO BERTON VEDAN;REGISTRO;NÃO;12/5/2015;20/5/2015;12/5/2015;12/5/2015;52429
201502462;VALE S.A.;TEMPO (EXPEDITO);APOIO PORTUÁRIO;REGISTRO ENCERRADO;AUGUSTO BERTON VEDAN;REGISTRO;NÃO;14/5/2015;20/5/2015;14/5/2015;14/5/2015;52430
201502463;MARTIN LEME SERVIÇOS LTDA;TEMPO;APOIO MARÍTIMO;PROCESSO DE CIRCULARIZAÇÃO AGUARDANDO ENVIO PARA O MERCADO;RODRIGO DIAS PAES LEME;CIRCULARIZAÇÃO;NÃO;11/7/2015 a 10/7/2016;;;;52431
201502464;ALIANÇA NAVEGAÇÃO E LOGÍSTICA LTDA.;ESPAÇO;CABOTAGEM;AFRETAMENTO FECHADO E LIBERADO;ILSE COTING;FECHAMENTO;NÃO;23/5/2015 a 27/5/2015;21/5/2015;23/5/2015;2/6/2015;52432
201502465;SOBRARE SERVEMAR LTDA;TEMPO (EXPEDITO);APOIO PORTUÁRIO;REGISTRO ENCERRADO;AUGUSTO BERTON VEDAN;REGISTRO;NÃO;15/5/2015;20/5/2015;15/5/2015;15/5/2015;52433
201502466;SOBRARE SERVEMAR LTDA;TEMPO (EXPEDITO);APOIO PORTUÁRIO;REGISTRO ENCERRADO;AUGUSTO BERTON VEDAN;REGISTRO;NÃO;15/5/2015;20/5/2015;15/5/2015;15/5/2015;52434
201502467;SOBRARE SERVEMAR LTDA;TEMPO (EXPEDITO);APOIO PORTUÁRIO;REGISTRO ENCERRADO;AUGUSTO BERTON VEDAN;REGISTRO;NÃO;16/5/2015;20/5/2015;16/5/2015;16/5/2015;52435
201502468;SOBRARE SERVEMAR LTDA;TEMPO (EXPEDITO);APOIO PORTUÁRIO;REGISTRO ENCERRADO;AUGUSTO BERTON VEDAN;REGISTRO;NÃO;16/5/2015;20/5/2015;16/5/2015;16/5/2015;52436
201502469;SAVEIROS, CAMUYRANO - SERVIÇOS MARÍTIMOS S/A;TEMPO (EXPEDITO);APOIO PORTUÁRIO;REGISTRO ENCERRADO;AUGUSTO BERTON VEDAN;REGISTRO;NÃO;15/5/2015;20/5/2015;15/5/2015;15/5/2015;52437
201502470;SAVEIROS, CAMUYRANO - SERVIÇOS MARÍTIMOS S/A;TEMPO (EXPEDITO);APOIO PORTUÁRIO;REGISTRO ENCERRADO;AUGUSTO BERTON VEDAN;REGISTRO;NÃO;15/5/2015;20/5/2015;15/5/2015;15/5/2015;52438
201502471;FLUMAR TRANSPORTES DE QUIMICOS E GASES LTDA;VIAGEM;LONGO CURSO;REGISTRO ENCERRADO;AUGUSTO BERTON VEDAN;REGISTRO;NÃO;10/4/2015;20/5/2015;10/4/2015;10/5/2015;52439
201502472;SAVEIROS, CAMUYRANO - SERVIÇOS MARÍTIMOS S/A;TEMPO (EXPEDITO);APOIO PORTUÁRIO;REGISTRO ENCERRADO;AUGUSTO BERTON VEDAN;REGISTRO;NÃO;15/5/2015;20/5/2015;15/5/2015;15/5/2015;52440
201502473;SAVEIROS, CAMUYRANO - SERVIÇOS MARÍTIMOS S/A;TEMPO (EXPEDITO);APOIO PORTUÁRIO;REGISTRO ENCERRADO;AUGUSTO BERTON VEDAN;REGISTRO;NÃO;16/5/2015;20/5/2015;16/5/2015;16/5/2015;52441
201502474;SAVEIROS, CAMUYRANO - SERVIÇOS MARÍTIMOS S/A;TEMPO (EXPEDITO);APOIO PORTUÁRIO;REGISTRO ENCERRADO;AUGUSTO BERTON VEDAN;REGISTRO;NÃO;16/5/2015;20/5/2015;16/5/2015;16/5/2015;52442
201502475;SAVEIROS, CAMUYRANO - SERVIÇOS MARÍTIMOS S/A;TEMPO (EXPEDITO);APOIO PORTUÁRIO;REGISTRO ENCERRADO;AUGUSTO BERTON VEDAN;REGISTRO;NÃO;16/5/2015;20/5/2015;16/5/2015;16/5/2015;52443
201502476;ALIANÇA NAVEGAÇÃO E LOGÍSTICA LTDA.;ESPAÇO;CABOTAGEM;AFRETAMENTO FECHADO E LIBERADO;ILSE COTING;FECHAMENTO;NÃO;26/5/2015 a 30/5/2015;21/5/2015;26/5/2015;27/5/2015;52444
201502477;ALIANÇA NAVEGAÇÃO E LOGÍSTICA LTDA.;ESPAÇO;CABOTAGEM;AFRETAMENTO FECHADO E LIBERADO;ILSE COTING;FECHAMENTO;NÃO;26/5/2015 a 30/5/2015;21/5/2015;26/5/2015;31/5/2015;52445
201502478;ALIANÇA NAVEGAÇÃO E LOGÍSTICA LTDA.;ESPAÇO;CABOTAGEM;AFRETAMENTO FECHADO E LIBERADO;ILSE COTING;FECHAMENTO;NÃO;26/5/2015 a 30/5/2015;21/5/2015;26/5/2015;31/5/2015;52446
201502479;SULNORTE SERVIÇOS MARÍTIMOS LTDA.;TEMPO (EXPEDITO);APOIO PORTUÁRIO;REGISTRO CANCELADO E LIBERADO;LUIS ROBERTO DA SILVA CARVALHO;REGISTRO;NÃO;14/4/2015;20/5/2015;14/4/2015;14/4/2015;52447
201502480;FLUMAR TRANSPORTES DE QUIMICOS E GASES LTDA;VIAGEM;LONGO CURSO;REGISTRO ENCERRADO;FELIPE PUGIAN JARDIM;REGISTRO;NÃO;17/5/2015;20/5/2015;17/5/2015;26/6/2015;52448
201502481;SAVEIROS, CAMUYRANO - SERVIÇOS MARÍTIMOS S/A;TEMPO (EXPEDITO);APOIO PORTUÁRIO;REGISTRO ENCERRADO;AUGUSTO BERTON VEDAN;REGISTRO;NÃO;16/5/2015;21/5/2015;16/5/2015;16/5/2015;52449
201502482;ALIANÇA NAVEGAÇÃO E LOGÍSTICA LTDA.;ESPAÇO;LONGO CURSO;REGISTRO ENCERRADO;RÔMULO CASTELO BRANCO GOMES DE ARAUJO;REGISTRO;NÃO;17/5/2015;21/5/2015;17/5/2015;6/6/2015;52450
201502483;PETRÓLEO BRASILEIRO S.A - PETROBRAS;TEMPO;APOIO MARÍTIMO;AGUARDANDO ENCERRAMENTO DO REGISTRO;AUGUSTO BERTON VEDAN;REGISTRO;NÃO;18/5/2015 a 18/5/2015;21/5/2015;18/5/2015;16/5/2023;52451
201502484;MARTIN LEME SERVIÇOS LTDA;TEMPO;APOIO PORTUÁRIO;PROCESSO DE CIRCULARIZAÇÃO AGUARDANDO ENVIO PARA O MERCADO;RODRIGO DIAS PAES LEME;CIRCULARIZAÇÃO;NÃO;11/7/2015;;;;52452
201502485;PETRÓLEO BRASILEIRO S.A - PETROBRAS;VIAGEM;LONGO CURSO;AFRETAMENTO FECHADO E LIBERADO;CLAUDIO MONTEIRO;FECHAMENTO;NÃO;4/6/2015 a 8/6/2015;26/5/2015;5/6/2015;11/7/2015;52453
201502486;MARTIN LEME SERVIÇOS LTDA;TEMPO;APOIO PORTUÁRIO;DISPONÍVEL PARA FECHAMENTO;AUGUSTO BERTON VEDAN;CONFIRMAÇÃO;NÃO;11/7/2015;12/6/2015;11/7/2015;;52454
201502487;ZEMAX LOG SOLUÇÕES MARÍTIMAS S.A.;TEMPO;LONGO CURSO;AFRETAMENTO FECHADO E LIBERADO;PETER KING;FECHAMENTO;NÃO;1/6/2015 a 7/6/2015;25/5/2015;1/6/2015;21/6/2015;52455
201502488;PETRÓLEO BRASILEIRO S.A - PETROBRAS;TEMPO;CABOTAGEM;DISPONÍVEL PARA FECHAMENTO;RÔMULO CASTELO BRANCO GOMES DE ARAUJO;CONFIRMAÇÃO;NÃO;27/5/2015 a 31/5/2015;25/5/2015;28/5/2015;;52456
201502489;PETRÓLEO BRASILEIRO S.A - PETROBRAS;TEMPO;LONGO CURSO;DISPONÍVEL PARA FECHAMENTO;AUGUSTO BERTON VEDAN;CONFIRMAÇÃO;NÃO;27/5/2015 a 31/5/2015;25/5/2015;28/5/2015;;52457
201502490;MERCOSUL LINE NAVEGAÇÃO E LOGÍSTICA LTDA;ESPAÇO;CABOTAGEM;AFRETAMENTO FECHADO E LIBERADO;PAULO RICARDO CRISTIANO DA SILVA;FECHAMENTO;NÃO;1/6/2015 a 5/6/2015;22/5/2015;1/6/2015;4/6/2015;52458
201502491;ALIANÇA NAVEGAÇÃO E LOGÍSTICA LTDA.;ESPAÇO;CABOTAGEM;AFRETAMENTO FECHADO E LIBERADO;ILSE COTING;FECHAMENTO;NÃO;27/5/2015 a 31/5/2015;22/5/2015;29/5/2015;1/6/2015;52459
201502492;SULNORTE SERVIÇOS MARÍTIMOS LTDA.;TEMPO (EXPEDITO);APOIO PORTUÁRIO;REGISTRO CANCELADO E LIBERADO;LUIS ROBERTO DA SILVA CARVALHO;REGISTRO;NÃO;15/4/2015;21/5/2015;15/4/2015;15/4/2015;52460
201502493;SULNORTE SERVIÇOS MARÍTIMOS LTDA.;TEMPO (EXPEDITO);APOIO PORTUÁRIO;REGISTRO CANCELADO E LIBERADO;LUIS ROBERTO DA SILVA CARVALHO;REGISTRO;NÃO;17/4/2015;21/5/2015;17/4/2015;17/4/2015;52461
201502494;SULNORTE SERVIÇOS MARÍTIMOS LTDA.;TEMPO (EXPEDITO);APOIO PORTUÁRIO;REGISTRO CANCELADO E LIBERADO;LUIS ROBERTO DA SILVA CARVALHO;REGISTRO;NÃO;24/4/2015;21/5/2015;24/4/2015;24/4/2015;52462
201502495;SULNORTE SERVIÇOS MARÍTIMOS LTDA.;TEMPO (EXPEDITO);APOIO PORTUÁRIO;REGISTRO CANCELADO E LIBERADO;LUIS ROBERTO DA SILVA CARVALHO;REGISTRO;NÃO;25/4/2015;21/5/2015;25/4/2015;25/4/2015;52463
201502496;ZEMAX LOG SOLUÇÕES MARÍTIMAS S.A.;ESPAÇO;LONGO CURSO;AFRETAMENTO FECHADO E LIBERADO;PETER KING;FECHAMENTO;NÃO;30/5/2015 a 3/6/2015;22/5/2015;3/6/2015;7/6/2015;52464
201502497;SULNORTE SERVIÇOS MARÍTIMOS LTDA.;TEMPO (EXPEDITO);APOIO PORTUÁRIO;REGISTRO CANCELADO E LIBERADO;LUIS ROBERTO DA SILVA CARVALHO;REGISTRO;NÃO;25/4/2015;21/5/2015;25/4/2015;25/4/2015;52465
201502498;SULNORTE SERVIÇOS MARÍTIMOS LTDA.;TEMPO (EXPEDITO);APOIO PORTUÁRIO;REGISTRO CANCELADO E LIBERADO;LUIS ROBERTO DA SILVA CARVALHO;REGISTRO;NÃO;25/4/2015;21/5/2015;25/4/2015;25/4/2015;52466
201502499;SULNORTE SERVIÇOS MARÍTIMOS LTDA.;TEMPO (EXPEDITO);APOIO PORTUÁRIO;REGISTRO CANCELADO E LIBERADO;LUIS ROBERTO DA SILVA CARVALHO;REGISTRO;NÃO;25/4/2015;21/5/2015;25/4/2015;25/4/2015;52467
201502500;SULNORTE SERVIÇOS MARÍTIMOS LTDA.;TEMPO (EXPEDITO);APOIO PORTUÁRIO;REGISTRO CANCELADO E LIBERADO;LUIS ROBERTO DA SILVA CARVALHO;REGISTRO;NÃO;22/4/2015;21/5/2015;22/4/2015;22/4/2015;52468
201502501;ZEMAX LOG SOLUÇÕES MARÍTIMAS S.A.;ESPAÇO;LONGO CURSO;AFRETAMENTO FECHADO E LIBERADO;PETER KING;FECHAMENTO;NÃO;30/5/2015 a 3/6/2015;22/5/2015;3/6/2015;9/6/2015;52469
201502502;SULNORTE SERVIÇOS MARÍTIMOS LTDA.;TEMPO (EXPEDITO);APOIO PORTUÁRIO;REGISTRO CANCELADO E LIBERADO;LUIS ROBERTO DA SILVA CARVALHO;REGISTRO;NÃO;6/4/2015;21/5/2015;6/4/2015;6/4/2015;52470
201502503;SULNORTE SERVIÇOS MARÍTIMOS LTDA.;TEMPO (EXPEDITO);APOIO PORTUÁRIO;REGISTRO CANCELADO E LIBERADO;LUIS ROBERTO DA SILVA CARVALHO;REGISTRO;NÃO;9/4/2015;21/5/2015;9/4/2015;9/4/2015;52471
201502504;LOG-IN LOGÍSTICA INTERMODAL S/A;ESPAÇO;CABOTAGEM;REGISTRO ENCERRADO;AUGUSTO BERTON VEDAN;REGISTRO;NÃO;15/5/2015;21/5/2015;15/5/2015;28/5/2015;52472
201502505;SULNORTE SERVIÇOS MARÍTIMOS LTDA.;TEMPO (EXPEDITO);APOIO PORTUÁRIO;REGISTRO CANCELADO E LIBERADO;LUIS ROBERTO DA SILVA CARVALHO;REGISTRO;NÃO;10/4/2015;21/5/2015;10/4/2015;10/4/2015;52473
201502506;SULNORTE SERVIÇOS MARÍTIMOS LTDA.;TEMPO (EXPEDITO);APOIO PORTUÁRIO;AGUARDANDO ANÁLISE DE REGISTRO;RAPHAEL DE CARVALHO LAGUNA CARDOSO;REGISTRO;NÃO;11/4/2015 a 11/4/2015;21/5/2015;11/4/2015;11/4/2015;52474
201502507;SULNORTE SERVIÇOS MARÍTIMOS LTDA.;TEMPO (EXPEDITO);APOIO PORTUÁRIO;AGUARDANDO ANÁLISE DE REGISTRO;RAPHAEL DE CARVALHO LAGUNA CARDOSO;REGISTRO;NÃO;12/4/2015 a 12/4/2015;21/5/2015;12/4/2015;12/4/2015;52475
201502508;SULNORTE SERVIÇOS MARÍTIMOS LTDA.;TEMPO (EXPEDITO);APOIO PORTUÁRIO;AGUARDANDO ANÁLISE DE REGISTRO;RAPHAEL DE CARVALHO LAGUNA CARDOSO;REGISTRO;NÃO;13/4/2015 a 13/4/2015;21/5/2015;13/4/2015;13/4/2015;52476
201502509;SULNORTE SERVIÇOS MARÍTIMOS LTDA.;TEMPO (EXPEDITO);APOIO PORTUÁRIO;AGUARDANDO ANÁLISE DE REGISTRO;RAPHAEL DE CARVALHO LAGUNA CARDOSO;REGISTRO;NÃO;15/4/2015 a 15/4/2015;21/5/2015;15/4/2015;15/4/2015;52477
201502510;LOG-IN LOGÍSTICA INTERMODAL S/A;ESPAÇO;CABOTAGEM;REGISTRO ENCERRADO;AUGUSTO BERTON VEDAN;REGISTRO;NÃO;17/5/2015;21/5/2015;17/5/2015;28/5/2015;52478
201502511;FLUMAR TRANSPORTES DE QUIMICOS E GASES LTDA;ESPAÇO;CABOTAGEM;AFRETAMENTO CANCELADO;LUIZ DE SOUSA CAVALCANTI;CIRCULARIZAÇÃO;NÃO;27/5/2015 a 31/5/2015;;;;52479
201502512;FLUMAR TRANSPORTES DE QUIMICOS E GASES LTDA;ESPAÇO;CABOTAGEM;AFRETAMENTO CANCELADO;LUIZ DE SOUSA CAVALCANTI;CIRCULARIZAÇÃO;NÃO;27/5/2015 a 31/5/2015;;;;52480
201502513;SOBRARE SERVEMAR LTDA;TEMPO (EXPEDITO);APOIO PORTUÁRIO;REGISTRO ENCERRADO;AUGUSTO BERTON VEDAN;REGISTRO;NÃO;17/5/2015;22/5/2015;17/5/2015;17/5/2015;52481
